"","Methow","Tucannon","John Day","Palouse","Walla Walla","Chelan","Wenatchee","Crab Creek","Yakima"
"69",10.3267249368444,11.9630974319336,14.5335699557606,8.08633726438064,12.8206777554727,15.7862960233776,11.190702032873,13.7603028551454,12.0705635795174
"70",8.51757432394094,10.5544949844166,12.5136257807156,13.058550116096,17.2649105305491,14.375955446562,9.33207534663834,11.8032235106667,16.451175500496
"71",9.53853028038764,12.4293628616275,15.2127951199856,10.0798242129942,14.7305521757545,15.1877841164336,10.3843244003762,12.919292164545,13.9461510626183
"72",10.0624484869823,12.4293628616275,15.2127951199856,10.0798242129942,14.7305521757545,15.5879701240887,10.9208654242474,13.4801275922999,13.9461510626183
"73",10.0624484869823,13.7943487999964,17.2255232804897,16.9160655208138,20.1994229000614,15.5879701240887,10.9208654242474,13.4801275922999,19.3661879289977
"74",11.9246865300724,11.4940160557653,13.8552734447281,10.7971385884984,15.3705354751963,16.9459905088948,12.8121256058981,15.4212257796062,14.5772004008055
"75",6.63974796494809,11.0238863045785,13.1809621236257,6.37524835468159,10.9777465878946,12.7292096176287,7.36936749157357,9.65099861451276,10.2736354153567
"76",7.78387960331472,7.84895967907358,8.80232524594695,10.7971385884984,15.3705354751963,13.7602089983431,8.56978844731269,10.9793647610158,14.5772004008055
"77",7.78387960331472,10.0876143521089,11.8561256248516,8.08633726438064,12.8206777554727,13.7602089983431,8.56978844731269,10.9793647610158,12.0705635795174
"78",9.79961359372194,10.0876143521089,11.8561256248516,8.08633726438064,12.8206777554727,15.3884349605171,10.6519711090394,13.1997003949595,12.0705635795174
"79",8.26954691261724,11.9630974319336,14.5335699557606,8.08633726438064,12.8206777554727,14.1711901078405,9.07498845198711,11.5269198949928,12.0705635795174
"80",8.26954691261724,11.4940160557653,13.8552734447281,8.72172246906831,13.4530760285282,14.1711901078405,9.07498845198711,11.5269198949928,12.6902380286393
"81",9.02281232966225,9.16826962384959,10.5811953247148,5.87240104571985,10.3887591512452,14.7835184327078,9.85396236734221,12.3596117813981,9.70246610332252
"82",5.61062363787095,8.71906350100126,9.9684770231634,6.37524835468159,10.9777465878946,11.7037518882111,6.27556107058311,8.40129603522708,10.2736354153567
"83",7.546675630438,8.2788429964584,9.3749636784976,7.48270509023831,12.1957953967774,13.5542021483003,8.32214087991324,10.7086017897027,11.459723453677
"84",8.51757432394094,8.71906350100126,9.9684770231634,10.0798242129942,14.7305521757545,14.375955446562,9.33207534663834,11.8032235106667,13.9461510626183
"85",9.53853028038764,12.8910837891811,15.8898707703207,13.058550116096,17.2649105305491,15.1877841164336,10.3843244003762,12.919292164545,16.451175500496
"86",12.1900152266108,15.4804591685727,19.7463084927724,16.1585368159455,19.6440163459324,17.133473123472,13.0798602912912,15.6922967143527,18.8137964234829
"87",11.9246865300724,11.0238863045785,13.1809621236257,11.5354416728328,16.007927399084,16.9459905088948,12.8121256058981,15.4212257796062,15.2067915534919
"88",10.8583376268546,11.9630974319336,14.5335699557606,12.2907183632948,16.6401998941835,16.17896406962,11.7319694000051,14.3188289036519,15.8323005018945
"89",10.8583376268546,12.8910837891811,15.8898707703207,11.5354416728328,16.007927399084,16.17896406962,11.7319694000051,14.3188289036519,15.2067915534919
"90",11.6585280324046,11.0238863045785,13.1809621236257,8.72172246906831,13.4530760285282,16.7567231711559,12.5431624422448,15.1480977959555,12.6902380286393
"91",7.31349012336071,8.71906350100126,9.9684770231634,5.87240104571985,10.3887591512452,13.3479923236777,8.07808371576124,10.4401629842374,9.70246610332252
"92",7.31349012336071,7.84895967907358,8.80232524594695,6.37524835468159,10.9777465878946,13.3479923236777,8.07808371576124,10.4401629842374,10.2736354153567
"93",7.546675630438,8.71906350100126,9.9684770231634,5.87240104571985,10.3887591512452,13.5542021483003,8.32214087991324,10.7086017897027,9.70246610332252
"94",7.08450162904822,8.2788429964584,9.3749636784976,4.96754288401973,9.25983105427132,13.1416858340395,7.83781556038533,10.1742735770095,8.61243371207087
"95",6.63974796494809,7.43062896373524,8.2519382507859,4.96754288401973,9.25983105427132,12.7292096176287,7.36936749157357,9.65099861451276,8.61243371207087
"96",5.80662177545999,8.71906350100126,9.9684770231634,8.08633726438064,12.8206777554727,11.9077692190024,6.4850104142511,8.643868263014,12.0705635795174
"97",6.42425615539976,10.0876143521089,11.8561256248516,10.0798242129942,14.7305521757545,12.5232518853889,7.14150905902058,9.39401458340676,13.9461510626183
"98",7.546675630438,11.0238863045785,13.1809621236257,8.72172246906831,13.4530760285282,13.5542021483003,8.32214087991324,10.7086017897027,12.6902380286393
"99",9.53853028038764,11.0238863045785,13.1809621236257,8.08633726438064,12.8206777554727,15.1877841164336,10.3843244003762,12.919292164545,12.0705635795174
"100",9.02281232966225,11.9630974319336,14.5335699557606,8.08633726438064,12.8206777554727,14.7835184327078,9.85396236734221,12.3596117813981,12.0705635795174
"101",9.53853028038764,9.16826962384959,10.5811953247148,8.08633726438064,12.8206777554727,15.1877841164336,10.3843244003762,12.919292164545,12.0705635795174
"102",6.8598729823312,8.71906350100126,9.9684770231634,6.37524835468159,10.9777465878946,12.9353899309888,7.60152111986802,9.91115062610073,10.2736354153567
"103",6.42425615539976,11.0238863045785,13.1809621236257,8.08633726438064,12.8206777554727,12.5232518853889,7.14150905902058,9.39401458340676,12.0705635795174
"104",7.31349012336071,9.6249813607747,11.2111551908526,6.37524835468159,10.9777465878946,13.3479923236777,8.07808371576124,10.4401629842374,10.2736354153567
"105",7.31349012336071,8.2788429964584,9.3749636784976,6.91209784529432,11.5807594327329,13.3479923236777,8.07808371576124,10.4401629842374,10.8600345922101
"106",8.76874774114585,9.6249813607747,11.2111551908526,8.72172246906831,13.4530760285282,14.5800989142245,9.59182117115506,12.0808739014399,12.6902380286393
"107",10.8583376268546,12.8910837891811,15.8898707703207,13.058550116096,17.2649105305491,16.17896406962,11.7319694000051,14.3188289036519,16.451175500496
"108",13.7470487873908,12.8910837891811,15.8898707703207,13.058550116096,17.2649105305491,18.2171850260672,14.6442738731274,17.2629954179359,16.451175500496
"109",13.4931969097013,13.7943487999964,17.2255232804897,14.612744660129,18.482485859367,18.0417702517457,14.3899063233023,17.0088828452681,17.6593842369161
"110",13.9979885476595,14.6608245781424,18.5176439305789,15.3891737050758,19.071179614187,18.3903930808367,14.8955045218924,17.5136034227144,18.2442989831416
"111",14.730876349461,15.4804591685727,19.7463084927724,17.6572805762544,20.7360519791725,18.8963360908516,15.6281770897789,18.2428242013774,19.9000197144245
"112",15.2006468529576,10.0876143521089,11.8561256248516,12.2907183632948,16.6401998941835,19.2218427577477,16.0971491799723,18.708756469623,15.8323005018945
"113",10.8583376268546,10.0876143521089,11.8561256248516,10.0798242129942,14.7305521757545,16.17896406962,11.7319694000051,14.3188289036519,13.9461510626183
"114",9.53853028038764,10.5544949844166,12.5136257807156,9.38702253356703,14.0905423933674,15.1877841164336,10.3843244003762,12.919292164545,13.3162874160074
"115",8.76874774114585,8.2788429964584,9.3749636784976,8.72172246906831,13.4530760285282,14.5800989142245,9.59182117115506,12.0808739014399,12.6902380286393
