"","Clearwater","Clearwater.T","Snake","Snake.T","Columbia","Columbia.T","NFClearwater","NFClearwater.T","Potlatch","Potlatch.T","Tucannon","Tucannon.T","Palouse","Palouse.T","Okanogan","Okanogan.T","Methow","Methow.T","Chelan","Chelan.T","Wenatchee","Wenatchee.T","Crab","Crab.T","Yakima","Yakima.T","WallaWalla","WallaWalla.T","JohnDay","JohnDay.T","Deschutes","Deschutes.T"
"49",11900,3,35500,4.5,150562.5,3.76,9916.67,5.3,62.2,33,262,6.63,868,3.85,4200,4.8,1530,4.88,2420,10.9,4700,5.49,131,7.47,6990,7.13,1110,7.71,3390,7.22,7130,7.7
"50",11200,3,33800,4.7,147366.67,3.81,9883.33,5.27,62.2,33,247,6.25,782,5.4,4110,4.3,1510,4.88,2450,10.9,4400,5.49,130,7.47,6610,9.15,1020,9.82,3130,6.74,6870,7.9
"51",11000,4,32100,5.1,147862.5,3.87,9866.67,5.19,62.2,33,240,8.72,720,5.87,4000,3.9,1490,4.23,2300,10.11,4160,4.78,127,6.61,6290,9.7,946,10.39,2920,9.97,6560,8.2
"52",11100,4.5,33400,5.1,145862.5,3.95,5716.67,5.11,62.2,33,227,5.89,713,4.97,3880,4.1,1460,6.86,2450,12.94,3950,7.6,124,9.91,6190,8.61,902,9.26,2760,6.29,6500,8
"53",9990,3.5,31700,4.5,167479.17,4,5704.17,5.26,62.2,33,215,4.31,721,2.53,3750,4.2,1420,4.71,2450,10.7,3710,5.3,120,7.25,6060,5.09,852,5.55,2580,4.39,6430,7.3
"54",8580,2,31400,4.1,155020.83,4.08,5708.33,5.07,62.2,33,203,3.79,647,2.53,3610,4.4,1380,3.39,2450,8.97,3490,3.86,115,5.46,5830,5.09,780,5.55,2460,3.79,6380,6.7
"55",8590,1,31000,4.2,136575,4.15,5712.5,5.22,62.2,33,191,5.21,581,3.54,3450,4.5,1370,3.93,2450,9.72,3320,4.45,108,6.21,5580,6.67,737,7.23,2280,5.46,6280,7.1
"56",8810,1.5,27800,4.7,123329.17,4.19,5716.67,5.11,62.2,33,193,6.63,535,1.49,3350,4.3,1340,5.23,2450,11.3,3170,5.87,114,7.93,5380,3.11,704,3.42,1980,7.22,6140,7.7
"57",8290,3,26800,5.3,140625,4.26,5725,5.06,62.2,33,189,6.63,523,5.87,3310,4.6,1320,5.81,2450,11.91,3040,6.49,114,8.64,5290,9.7,686,10.39,1910,7.22,6120,8.1
"58",7800,4,25900,5.5,135545.83,4.32,5708.33,5.04,62.2,33,186,7.02,511,6.38,3190,5,1330,7.55,2450,13.55,3030,8.32,117,10.71,5220,10.27,682,10.98,2070,7.72,6160,8.4
"59",7410,3.5,26600,5.4,132945.83,4.35,5691.67,5.1,62.2,33,182,5.54,496,3.85,3110,5,1310,4.07,2450,9.91,2920,4.61,129,6.41,5270,7.13,640,7.71,1990,5.86,6140,8.2
"60",6880,3,25500,4.8,120337.5,4.38,5716.67,5.18,62.2,33,176,4.9,473,3.25,3010,4.9,1260,4.88,2440,10.9,2760,5.49,117,7.47,5240,6.24,608,6.78,2080,5.08,6090,7.5
"61",6430,2,24800,4.5,135087.5,4.43,5737.5,5.1,62.2,33,172,4.9,444,4.19,2900,5,1250,3.79,2440,9.53,2670,4.3,120,6.02,5090,7.6,594,8.21,2180,5.08,5990,7.9
"62",6540,2,22500,4.7,145475,4.43,3558.33,5.07,62.2,33,169,4.31,415,2.99,2790,4.8,1210,4.23,2440,10.11,2530,4.78,126,6.61,4960,5.84,574,6.35,1980,4.39,5780,8.3
"63",6020,2,22200,4.6,151387.5,4.44,3525,4.98,62.2,33,162,4.59,407,2.99,2770,4.6,1160,3.52,2440,9.15,2430,4,110,5.64,4740,5.84,541,6.35,1840,4.72,5550,7.8
"64",5720,1.5,22500,4.7,149954.17,4.44,1500,4.93,62.2,33,159,6.25,390,3.85,2570,4.6,1160,4.23,2400,10.11,2360,4.78,111,6.61,4590,7.13,519,7.71,1830,6.74,5560,7.7
"65",5790,2,21600,5.4,145054.17,4.47,1500,5.06,62.2,33,157,7.43,366,6.91,2440,5,1150,5.61,2450,11.7,2290,6.28,112,8.4,4490,10.86,485,11.58,1670,8.25,5650,8.3
"66",5730,3,22000,5.9,139691.67,4.49,1500,5.18,62.2,33,154,8.72,350,8.72,2460,5.4,1140,8.02,2450,13.97,2250,8.82,124,11.25,4430,12.69,446,13.45,1530,9.97,5660,8.9
"67",5590,3.5,20000,6.2,145112.5,4.57,1500,5.12,62.2,33,152,9.62,358,8.09,2490,6,1150,8.77,2450,14.58,2240,9.59,124,12.08,4370,12.07,419,12.82,1620,11.21,5710,9.1
"68",5470,4,20200,6.4,121312.5,4.6,1500,5.05,62.2,33,149,10.09,349,10.08,2450,6.6,1180,9.28,2450,14.99,2250,10.12,129,12.64,4320,13.95,401,14.73,1610,11.86,5700,9.4
"69",5450,4.5,20200,6.6,118158.33,4.68,1500,5.08,62.2,33,148,11.96,340,8.09,2410,7.1,1230,10.33,2450,15.79,2290,11.19,121,13.76,4270,12.07,356,12.82,1590,14.53,5680,9.5
"70",5550,5,19800,7,125754.17,4.74,1500,5.05,62.2,33,146,10.55,331,13.06,2410,7.7,1310,8.52,1870,14.38,2350,9.33,114,11.8,4190,16.45,322,17.26,1570,12.51,5620,9.9
"71",5840,5.5,21200,7.5,127587.5,4.75,1500,5.12,62.2,33,147,12.43,324,10.08,2390,8.2,1420,9.54,1930,15.19,2490,10.38,103,12.92,4150,13.95,304,14.73,1550,15.21,5380,10.3
"72",6440,6,22100,8,124966.67,4.78,1500,4.99,62.2,33,146,12.43,316,10.08,2390,8.6,1560,10.06,2450,15.59,2760,10.92,95,13.48,4140,13.95,303,14.73,1550,15.21,5420,10.6
"73",6810,6.5,22400,8.2,95912.5,4.86,1500,5.05,62.2,33,145,13.79,312,16.92,2540,9.1,1730,10.06,2450,15.59,3120,10.92,88,13.48,4160,19.37,290,20.2,1640,17.23,5610,10.7
"74",9550,6,20300,8.6,110050,4.8,1495.83,4.95,62.2,33,164,11.49,333,10.8,2820,9.2,2380,11.92,2450,16.95,5530,12.81,90,15.42,4260,14.58,324,15.37,1730,13.86,5780,11.1
"75",17700,6,25100,8.8,118000,4.83,1495.83,5.02,62.2,33,185,11.02,371,6.38,3330,8.4,2680,6.64,2450,12.73,6160,7.37,99,9.65,5670,10.27,448,10.98,1780,13.18,6120,11
"76",18400,6,29700,8.6,112033.33,4.86,1487.5,5.03,62.2,33,183,7.85,749,10.8,4000,8.1,2560,7.78,2450,13.76,5530,8.57,98,10.98,8010,14.58,450,15.37,2620,8.8,6410,10.8
"77",19100,6,31300,8.4,107712.5,4.88,1491.67,4.85,62.2,33,187,10.09,744,8.09,3780,7.4,2480,7.78,2450,13.76,5010,8.57,102,10.98,7270,12.07,454,12.82,3290,11.86,6290,10.7
"78",18400,6,33200,8.5,123262.5,4.89,1475,4.75,62.2,33,181,10.09,748,8.09,3650,7.7,2440,9.8,2450,15.39,4630,10.65,106,13.2,6590,12.07,415,12.82,3370,11.86,6200,10.7
