"","13340000","13334300","12447200","14103000","13341000"
"237",18,21.5,19.2,17.6,7.67083333333333
"238",17.5,21.6,19.5,18,7.640625
"239",18,22,19.9,18.3,7.60208333333333
"240",18,21.9,20.1,17.8,7.65
"241",18.5,21.5,19.9,17.3,7.85729166666667
"242",18.5,21.3,19.1,16.5,7.83645833333333
"243",18.5,21.2,18.2,16.3,7.86979166666667
"244",18.5,21.3,17.4,16.7,7.96354166666667
"245",19,21.2,17.7,17,7.96041666666667
"246",18.5,20.8,17.8,16.1,8.02083333333333
"247",18,20.2,17.5,15.5,8.12604166666667
"248",17,19.6,17.3,15,8.04479166666667
"249",16,18.8,16.1,15,8.13541666666667
"250",16,18.7,16.4,15.4,8.15625
"251",16.5,19.2,16.6,16.3,8.35
"252",17.5,19.9,16.9,17,8.41458333333333
"253",18,20.3,18.4,17.2,8.359375
"254",19,20.7,19.7,17.2,8.38020833333333
"255",19.5,20.9,20.3,17.5,8.47708333333333
"256",20,21,20.1,17.2,8.58125
"257",19.5,20.4,18.4,15.6,8.55
"258",18.5,19.9,17.1,14.2,8.74583333333333
"259",18,19.6,17,14.4,8.84583333333333
"260",17,19.3,16.5,15.2,9.10625
"261",16.5,19.3,16.4,15.4,9.18958333333333
"262",16.5,19.5,16.6,15.8,9.16666666666667
"263",17,19.5,17.3,16.5,9.23958333333333
"264",17,19.9,17.6,16.8,9.25729166666667
"265",17.5,19.8,16.8,15.7,9.3875
"266",17.5,19.6,16.5,14.9,9.16145833333333
"267",17,19.3,16.4,15.1,9.41666666666667
"268",17,19.2,16.5,15.3,9.50104166666667
"269",16.5,19.3,16.5,15.7,9.42083333333333
"270",16.5,19,15.6,14.7,9.16041666666667
"271",15.5,18.7,15.1,13.9,9.45104166666667
"272",15.5,18.5,15,14.1,9.64270833333333
"273",15.5,18.4,15.1,14.5,9.54791666666667
"274",15.5,18.6,15.5,14.8,9.41354166666667
"275",15.5,18.6,15.4,14.7,9.446875
"276",16,18.6,14.6,14.4,9.48020833333333
"277",15.5,18.2,14.1,14.2,9.75416666666667
"278",15,17.9,14.2,14,9.54583333333333
"279",14.5,17.7,13.8,14.2,9.46458333333333
"280",14.5,17.8,13.9,14.7,9.47291666666667
"281",15,18,14.4,15,9.64375
