"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"33",7850,29200,201,572,2600,1050,2460,3550,147,6100,759,2340,6430
"34",8080,28700,194,540,2550,1040,2460,3450,145,5930,833,2260,6570
"35",8170,29600,190,600,2480,1020,2460,3320,144,5800,899,2380,6820
"36",7940,29700,184,650,2450,1010,2460,3260,145,5660,915,2840,7250
"37",8220,31300,186,618,2590,1050,2460,4300,147,5640,924,3330,7290
"38",10700,32900,207,632,2800,1120,2460,6500,150,6990,1060,3330,7500
"39",19400,39100,266,802,3110,1160,2460,7410,150,8890,1460,3730,8030
"40",20700,43600,294,1370,3830,1230,2460,7430,148,9900,1500,6380,8190
"41",25100,49500,399,2630,3790,1270,1800,7010,147,9960,3340,6040,8350
"42",24100,51100,477,4180,3680,1300,1760,6680,145,10200,5380,6230,8370
"43",20500,48200,455,3770,3640,1340,1740,6170,145,10100,3250,6090,8180
"44",18100,45100,409,2350,3700,1380,2300,5890,143,9550,2310,5400,8030
"45",16300,42800,369,1720,3700,1450,2300,5820,140,8950,1860,4800,7920
"46",15100,41200,334,1380,3790,1530,2300,5700,134,8290,1590,4340,7550
"47",13900,40100,305,1150,4160,1560,2300,5370,130,7780,1390,3990,7400
"48",12900,38900,282,985,4280,1550,2390,5010,130,7360,1230,3700,7230
"49",11900,35500,262,868,4200,1530,2420,4700,131,6990,1110,3390,7130
"50",11200,33800,247,782,4110,1510,2450,4400,130,6610,1020,3130,6870
"51",11000,32100,240,720,4000,1490,2300,4160,127,6290,946,2920,6560
"52",11100,33400,227,713,3880,1460,2450,3950,124,6190,902,2760,6500
"53",9990,31700,215,721,3750,1420,2450,3710,120,6060,852,2580,6430
"54",8580,31400,203,647,3610,1380,2450,3490,115,5830,780,2460,6380
"55",8590,31000,191,581,3450,1370,2450,3320,108,5580,737,2280,6280
"56",8810,27800,193,535,3350,1340,2450,3170,114,5380,704,1980,6140
"57",8290,26800,189,523,3310,1320,2450,3040,114,5290,686,1910,6120
"58",7800,25900,186,511,3190,1330,2450,3030,117,5220,682,2070,6160
"59",7410,26600,182,496,3110,1310,2450,2920,129,5270,640,1990,6140
"60",6880,25500,176,473,3010,1260,2440,2760,117,5240,608,2080,6090
"61",6430,24800,172,444,2900,1250,2440,2670,120,5090,594,2180,5990
"62",6540,22500,169,415,2790,1210,2440,2530,126,4960,574,1980,5780
"63",6020,22200,162,407,2770,1160,2440,2430,110,4740,541,1840,5550
